,SPP1+ macrophages,AT2,MUC5B+ club,Monocyte-derived macrophage,CD4+ T Cells,EC Arterial,CD8+ T Cells,Dendritic cells,Alveolar macrophages,Smooth muscle cells,Mast cells,KRT5-/KRT17+ cells,Fibrotic fibroblast,EC Venous,SCGB3A2+/SCGB1A1+ club,Plasma cells,Goblet,Ciliated,Pericyte,EC General capillary
ATM,0.0,0.0003899999719578773,0.00037999998312443495,0.0,0.00037357144174166024,0.0,0.0,0.00038499999209307134,0.0003699999942909926,0.00039000000106170774,0.0003850000211969018,0.00038333333213813603,0.0003881818556692451,0.00040333333890885115,0.0,0.00044999999227002263,0.0,0.0,0.0,0.00041000000783242285
MORC3,0.0,0.00038399998447857797,0.00038333333213813603,0.00039999998989515007,0.00037777781835757196,0.0,0.0,0.00039499998092651367,0.0003699999942909926,0.00039000000106170774,0.0003900000301655382,0.00038666665204800665,0.00039250002009794116,0.00039499998092651367,0.00041000000783242285,0.0,0.00039999998989515007,0.00038499999209307134,0.00038333333213813603,0.00039000000106170774
TNFAIP2,0.00041000000783242285,0.00040333333890885115,0.00038333330303430557,0.00037999998312443495,0.00037999998312443495,0.0004900000058114529,0.00041000000783242285,0.00040111111593432724,0.00037416667328216136,0.00041000000783242285,0.00038499999209307134,0.00039000000106170774,0.00038857143954373896,0.0,0.0004199999966658652,0.0,0.0,0.0,0.0,0.0
MAP3K7,0.00041000000783242285,0.00039666666998527944,0.0,0.00039000000106170774,0.0003733333433046937,0.0,0.0,0.00040499999886378646,0.0003800000122282654,0.00039999998989515007,0.0,0.0003933333500754088,0.0003924999909941107,0.00040499999886378646,0.0004299999854993075,0.0,0.0,0.00039000000106170774,0.00039999998989515007,0.00040499999886378646
THBS1,0.00041000000783242285,0.00039999998989515007,0.0003699999942909926,0.000404000049456954,0.0003850000211969018,0.00039499998092651367,0.0,0.00038499999209307134,0.0003722222172655165,0.00039000000106170774,0.00041000000783242285,0.0,0.00039461537380702794,0.0,0.0,0.0,0.00041000000783242285,0.0,0.00039000000106170774,0.00039999998989515007
SRSF1,0.00039999998989515007,0.00039666666998527944,0.00039999998989515007,0.0,0.00036800000816583633,0.00040499999886378646,0.0,0.00040333333890885115,0.00039000000106170774,0.00039999998989515007,0.0,0.0003877777489833534,0.0003935714194085449,0.00040499999886378646,0.0,0.0,0.00041000000783242285,0.00038333333213813603,0.00041000000783242285,0.00040666665881872177
FAS,0.0004299999854993075,0.0004199999966658652,0.0,0.0,0.0003816666721832007,0.0,0.0,0.0,0.0,0.00039999998989515007,0.0,0.00039307691622525454,0.00039300002390518785,0.0004000000189989805,0.0,0.0,0.0,0.00038499999209307134,0.00039000000106170774,0.00040499999886378646
CKB,0.0,0.0003979999746661633,0.00039000000106170774,0.0,0.0003600000054575503,0.0004199999966658652,0.0,0.0,0.0003699999942909926,0.00040499999886378646,0.00039999998989515007,0.0003892307577189058,0.00039900006959214807,0.0,0.0004250000056345016,0.0,0.00039999998989515007,0.0003900000301655382,0.0,0.0
AAK1,0.0,0.0004099999787285924,0.00039999998989515007,0.00040749998879618943,0.0003900000301655382,0.00041000000783242285,0.00041500001680105925,0.00040333333890885115,0.00039000000106170774,0.0003699999942909926,0.0003800000122282654,0.0004000000189989805,0.000391249981475994,0.00040666665881872177,0.0,0.0004600000102072954,0.0004199999966658652,0.0004000000189989805,0.0,0.0
TNFAIP3,0.00040666665881872177,0.00040249997982755303,0.0,0.0004039999912492931,0.0003954545536544174,0.0004600000102072954,0.0,0.00039499998092651367,0.0003825000021606684,0.0,0.00039250002009794116,0.00039000000106170774,0.0004133333277422935,0.0004099999787285924,0.0004299999854993075,0.0,0.0,0.0004000000189989805,0.00039499998092651367,0.0
CXCL16,0.00043000001460313797,0.00041076919296756387,0.0,0.0004172727349214256,0.00039999998989515007,0.00039999998989515007,0.0,0.00041000000783242285,0.0003878571733366698,0.0,0.0004299999854993075,0.00039999998989515007,0.00039000000106170774,0.00041500001680105925,0.0,0.0,0.0,0.0,0.0,0.0
RAB13,0.00042333334567956626,0.000412941153626889,0.0,0.0004199999966658652,0.00039000000106170774,0.0004199999966658652,0.0,0.0004199999966658652,0.00038571428740397096,0.0,0.00044999999227002263,0.00039999998989515007,0.0004079999926034361,0.0004299999854993075,0.00044999999227002263,0.0,0.0,0.0,0.0,0.0004199999966658652
SCAMP4,0.0004199999966658652,0.00040749998879618943,0.00040499999886378646,0.00039000000106170774,0.00039000000106170774,0.0,0.0,0.0004120000230614096,0.00041000000783242285,0.0004199999966658652,0.0004400000034365803,0.00040666665881872177,0.00040249997982755303,0.0004299999854993075,0.0,0.00046999999904073775,0.0004199999966658652,0.00041363638592883945,0.00041000000783242285,0.0
