,SPP1+ macrophages,AT2,MUC5B+ club,Monocyte-derived macrophage,CD4+ T Cells,EC Arterial,Dendritic cells,Fibrotic fibroblast,Alveolar macrophages,Smooth muscle cells,Mast cells,KRT5-/KRT17+ cells,EC Venous,SCGB3A2+/SCGB1A1+ club,Plasma cells,Goblet,Ciliated,Pericyte,EC General capillary
GLB1,0.0005934903747402132,0.0005879964446648955,0.00057359435595572,0.0006016375846229494,0.000549615069758147,0.0005977050750516355,0.000591694435570389,0.000586501439101994,0.0,0.0,0.0,0.0,0.0005718912580050528,0.0,0.0,0.0,0.0006125574582256377,0.0,0.0
AXL,0.0005969051853753626,0.0,0.0005977315013296902,0.0005965675809420645,0.000593143398873508,0.0006031657685525715,0.0,0.0005878753727301955,0.0005709474207833409,0.0005872632027603686,0.0,0.000557424034923315,0.0005827213171869516,0.0,0.0,0.0,0.0,0.0006050853990018368,0.0005945584271103144
SOX5,0.0,0.0005960927228443325,0.0005864309496246278,0.0,0.0005618136492557824,0.0006070185336284339,0.0,0.0005962306750006974,0.0,0.000599576102104038,0.0005997251719236374,0.0006037186249159276,0.000606956600677222,0.0006175355520099401,0.0,0.0,0.0006076839054003358,0.0005934988148510456,0.0
TGFB1I1,0.0,0.0,0.0,0.0,0.0005669420352205634,0.0,0.0,0.0005981969879940152,0.0,0.000615177268628031,0.0,0.0005613052053377032,0.0006037097191438079,0.0,0.0006213164888322353,0.0,0.0,0.0005973188090138137,0.0006110878312028944
ZNF148,0.0,0.0006219107308425009,0.0006470517837442458,0.0,0.0006020820583216846,0.0,0.0,0.0006206530379131436,0.0,0.0,0.0,0.000612775853369385,0.0,0.0,0.0,0.0,0.0006076031713746488,0.0,0.0006163828074932098
ABI3,0.0,0.0,0.0006403009756468236,0.0006165450904518366,0.0006060822634026408,0.000621445185970515,0.0,0.0,0.0,0.0,0.0,0.0,0.0006197466282173991,0.0,0.0,0.0,0.0,0.0,0.0006284082191996276
MAP2K1,0.0006350066396407783,0.0006321996334008873,0.0,0.0006226281984709203,0.0006310174940153956,0.0,0.0,0.0006202617078088224,0.0,0.0,0.0,0.0,0.0,0.0,0.0006216156180016696,0.0,0.0,0.0006374151562340558,0.0
MAP1LC3B,0.0,0.0006275215419009328,0.0,0.0006291141035035253,0.000597003847360611,0.000627559726126492,0.0,0.0006116088479757309,0.0005965476157143712,0.0006332959164865315,0.0,0.0,0.0,0.0006571118719875813,0.0006434036185964942,0.0006490908563137054,0.0,0.0,0.0
EHF,0.0,0.0006325412541627884,0.0006213713204488158,0.0006427363841794431,0.0006047599599696696,0.0,0.0,0.0,0.0006035767146386206,0.0,0.0005967610632069409,0.0006175781018100679,0.0,0.0006701615639030933,0.0006493009277619421,0.0006460262229666114,0.0006431282963603735,0.0,0.0
RABGGTA,0.0,0.0,0.0006598110776394606,0.0006477322895079851,0.0006165395025163889,0.0,0.0006447131163440645,0.0006348181050270796,0.0006264024414122105,0.0006355501827783883,0.0,0.0006357620004564524,0.0006539985188283026,0.0,0.0,0.0,0.0006298274965956807,0.0006559729808941483,0.0006322698900476098
SEMA3F,0.0,0.0006269322475418448,0.0006154991569928825,0.0,0.0005879481323063374,0.0006567403324879706,0.0,0.0006490177474915981,0.0,0.0,0.0006420125137083232,0.0005987308686599135,0.0006377956015057862,0.0006605180096812546,0.0006331687327474356,0.0006521765608340502,0.0006393122021108866,0.000645137915853411,0.0006428628694266081
ITGA2,0.0,0.0006604077643714845,0.0006467095809057355,0.0,0.0006024612812325358,0.0006526360521093011,0.0,0.0006387378089129925,0.0,0.0,0.0,0.0006328748422674835,0.0006594409351237118,0.0006836053798906505,0.0,0.0006798523245379329,0.0006841744761914015,0.0006368084577843547,0.0
VEGFC,0.0,0.0006466421764343977,0.0,0.0,0.0006444815662689507,0.0006647675181739032,0.0,0.0006450106739066541,0.0,0.0,0.0006579867913387716,0.0006069052615202963,0.0006550944526679814,0.0,0.0006487276987172663,0.0,0.0,0.0,0.0
PLAU,0.0006763628334738314,0.0,0.0006607812247239053,0.0006650509894825518,0.0006200120551511645,0.0,0.0006698888028040528,0.0006681366357952356,0.0006465081823989749,0.0,0.0,0.0,0.0006667384877800941,0.0,0.0,0.0,0.0,0.0,0.0
CDKN2B,0.0,0.0006720139062963426,0.0,0.0006840553833171725,0.0006565970834344625,0.0006982049671933055,0.0006896862178109586,0.0006581095512956381,0.0,0.0,0.0,0.000670070992782712,0.0,0.0,0.0006714262417517602,0.0,0.0,0.0,0.0006779527175240219
BMP6,0.0,0.000649348134174943,0.0006741322576999664,0.0,0.0006678886129520833,0.000707862142007798,0.0,0.0006738794618286192,0.0006788526079617441,0.0006906500784680247,0.0006687908316962421,0.0006401701248250902,0.0006857903790660203,0.0,0.0006793926586396992,0.0,0.0,0.0,0.0
IGFBP5,0.0007075117900967598,0.0006768906605429947,0.0006794225773774087,0.0,0.0,0.0006952875410206616,0.0,0.0006752723129466176,0.0,0.0006823641015216708,0.0,0.0006950084352865815,0.0006879052380099893,0.000701474433299154,0.0,0.0007124930270947516,0.0006841731956228614,0.0,0.0
